Entity,Code,Year,Period life expectancy at birth,time
Afghanistan,AFG,2022,65.617,2022
Albania,ALB,2022,78.7688,2022
Algeria,DZA,2022,76.1289,2022
Andorra,AND,2022,84.0164,2022
Angola,AGO,2022,64.2455,2022
Antigua and Barbuda,ATG,2022,77.4833,2022
Argentina,ARG,2022,75.8061,2022
Armenia,ARM,2022,74.6333,2022
Australia,AUS,2022,82.7662,2022
Austria,AUT,2022,81.2959,2022
Azerbaijan,AZE,2022,74.125,2022
Bahamas,BHS,2022,74.4911,2022
Bahrain,BHR,2022,80.9921,2022
Bangladesh,BGD,2022,74.2647,2022
Barbados,BRB,2022,75.6761,2022
Belarus,BLR,2022,74.3612,2022
Belgium,BEL,2022,81.1589,2022
Belize,BLZ,2022,72.1904,2022
Benin,BEN,2022,60.4751,2022
Bhutan,BTN,2022,72.754,2022
Bolivia,BOL,2022,67.4342,2022
Bosnia and Herzegovina,BIH,2022,76.7772,2022
Botswana,BWA,2022,68.7487,2022
Brazil,BRA,2022,74.8719,2022
Brunei,BRN,2022,72.9171,2022
Bulgaria,BGR,2022,74.0342,2022
Burkina Faso,BFA,2022,60.7,2022
Burundi,BDI,2022,62.8819,2022
Cambodia,KHM,2022,70.528,2022
Cameroon,CMR,2022,62.4428,2022
Canada,CAN,2022,81.2493,2022
Cape Verde,CPV,2022,75.9068,2022
Central African Republic,CAF,2022,18.8177,2022
Chad,TCD,2022,54.5275,2022
Chile,CHL,2022,79.1762,2022
China,CHN,2022,78.2021,2022
Colombia,COL,2022,76.5081,2022
Comoros,COM,2022,66.4806,2022
Congo,COG,2022,65.0003,2022
Costa Rica,CRI,2022,79.3164,2022
Cote d'Ivoire,CIV,2022,61.5622,2022
Croatia,HRV,2022,78.2779,2022
Cuba,CUB,2022,77.6291,2022
Cyprus,CYP,2022,80.4337,2022
Czechia,CZE,2022,79.1648,2022
Democratic Republic of Congo,COD,2022,60.9789,2022
Denmark,DNK,2022,81.2906,2022
Djibouti,DJI,2022,65.5402,2022
Dominica,DMA,2022,71.0806,2022
Dominican Republic,DOM,2022,74.2108,2022
East Timor,TLS,2022,67.3684,2022
Ecuador,ECU,2022,76.5767,2022
Egypt,EGY,2022,71.0097,2022
El Salvador,SLV,2022,71.9695,2022
Equatorial Guinea,GNQ,2022,63.3545,2022
Eritrea,ERI,2022,67.7892,2022
Estonia,EST,2022,78.1674,2022
Eswatini,SWZ,2022,63.0283,2022
Ethiopia,ETH,2022,66.8971,2022
Fiji,FJI,2022,67.1481,2022
Finland,FIN,2022,81.2435,2022
France,FRA,2022,82.4753,2022
French Guiana,GUF,2022,76.7942,2022
Gabon,GAB,2022,67.713,2022
Gambia,GMB,2022,64.859,2022
Georgia,GEO,2022,74.1409,2022
Germany,DEU,2022,80.5796,2022
Ghana,GHA,2022,65.246,2022
Greece,GRC,2022,79.9441,2022
Greenland,GRL,2022,70.0519,2022
Grenada,GRD,2022,75.1508,2022
Guatemala,GTM,2022,71.2064,2022
Guinea,GIN,2022,60.4316,2022
Guinea-Bissau,GNB,2022,63.6045,2022
Guyana,GUY,2022,69.8885,2022
Haiti,HTI,2022,63.9483,2022
Honduras,HND,2022,72.7151,2022
Hungary,HUN,2022,76.2118,2022
Iceland,ISL,2022,81.5877,2022
India,IND,2022,71.6984,2022
Indonesia,IDN,2022,70.9246,2022
Iran,IRN,2022,76.7993,2022
Iraq,IRQ,2022,72.0371,2022
Ireland,IRL,2022,82.0505,2022
Israel,ISR,2022,82.8145,2022
Italy,ITA,2022,82.052,2022
Jamaica,JAM,2022,71.4809,2022
Japan,JPN,2022,84.0541,2022
Jordan,JOR,2022,77.088,2022
Kazakhstan,KAZ,2022,73.5028,2022
Kenya,KEN,2022,63.5491,2022
Kiribati,KIR,2022,66.2687,2022
Kosovo,OWID_KOS,2022,77.6233,2022
Kuwait,KWT,2022,78.7881,2022
Kyrgyzstan,KGZ,2022,71.487,2022
Laos,LAO,2022,68.7152,2022
Latvia,LVA,2022,74.8706,2022
Lebanon,LBN,2022,78.0029,2022
Lesotho,LSO,2022,56.8119,2022
Liberia,LBR,2022,61.9342,2022
Libya,LBY,2022,74.4615,2022
Liechtenstein,LIE,2022,83.4054,2022
Lithuania,LTU,2022,74.696,2022
Luxembourg,LUX,2022,82.2007,2022
Madagascar,MDG,2022,63.0677,2022
Malawi,MWI,2022,66.037,2022
Malaysia,MYS,2022,75.4442,2022
Maldives,MDV,2022,80.7595,2022
Mali,MLI,2022,60.0347,2022
Malta,MLT,2022,82.2496,2022
Marshall Islands,MHL,2022,66.7245,2022
Mauritania,MRT,2022,68.2807,2022
Mauritius,MUS,2022,73.5445,2022
Mexico,MEX,2022,73.9731,2022
Micronesia (country),FSM,2022,66.9606,2022
Moldova,MDA,2022,71.5465,2022
Monaco,MCO,2022,85.7464,2022
Mongolia,MNG,2022,71.5049,2022
Montenegro,MNE,2022,75.9214,2022
Morocco,MAR,2022,75.1614,2022
Mozambique,MOZ,2022,63.0115,2022
Myanmar,MMR,2022,66.5058,2022
Namibia,NAM,2022,64.1903,2022
Nauru,NRU,2022,61.9304,2022
Nepal,NPL,2022,70.0869,2022
Netherlands,NLD,2022,81.9121,2022
New Caledonia,NCL,2022,77.6983,2022
New Zealand,NZL,2022,81.0061,2022
Nicaragua,NIC,2022,74.4626,2022
Niger,NER,2022,60.3981,2022
Nigeria,NGA,2022,54.079,2022
North Korea,PRK,2022,73.6411,2022
North Macedonia,MKD,2022,76.6455,2022
Norway,NOR,2022,82.6309,2022
Oman,OMN,2022,77.9106,2022
Pakistan,PAK,2022,67.4167,2022
Palau,PLW,2022,68.9222,2022
Palestine,PSE,2022,76.6624,2022
Panama,PAN,2022,79.3241,2022
Papua New Guinea,PNG,2022,65.2736,2022
Paraguay,PRY,2022,72.3185,2022
Peru,PER,2022,76.834,2022
Philippines,PHL,2022,69.4723,2022
Poland,POL,2022,77.9229,2022
Portugal,PRT,2022,81.1936,2022
Puerto Rico,PRI,2022,79.4269,2022
Qatar,QAT,2022,81.8566,2022
Romania,ROU,2022,75.2614,2022
Russia,RUS,2022,72.5174,2022
Rwanda,RWA,2022,67.528,2022
Saint Kitts and Nevis,KNA,2022,70.3131,2022
Saint Lucia,LCA,2022,72.6699,2022
Saint Vincent and the Grenadines,VCT,2022,71.1906,2022
Samoa,WSM,2022,71.5503,2022
San Marino,SMR,2022,85.7082,2022
Sao Tome and Principe,STP,2022,69.2368,2022
Saudi Arabia,SAU,2022,77.3098,2022
Senegal,SEN,2022,67.7884,2022
Serbia,SRB,2022,75.4778,2022
Seychelles,SYC,2022,71.2481,2022
Sierra Leone,SLE,2022,61.2748,2022
Singapore,SGP,2022,82.9211,2022
Slovakia,SVK,2022,77.0356,2022
Slovenia,SVN,2022,80.7933,2022
Solomon Islands,SLB,2022,70.4086,2022
Somalia,SOM,2022,53.9315,2022
South Africa,ZAF,2022,65.4536,2022
South Korea,KOR,2022,82.727,2022
South Sudan,SSD,2022,57.2026,2022
Spain,ESP,2022,82.3661,2022
Sri Lanka,LKA,2022,77.2996,2022
Sudan,SDN,2022,65.695,2022
Suriname,SUR,2022,73.2538,2022
Sweden,SWE,2022,83.046,2022
Switzerland,CHE,2022,83.2003,2022
Syria,SYR,2022,72.7898,2022
Taiwan,TWN,2022,80.1569,2022
Tajikistan,TJK,2022,71.5624,2022
Tanzania,TZA,2022,66.8786,2022
Thailand,THA,2022,75.2913,2022
Togo,TGO,2022,62.2898,2022
Tonga,TON,2022,72.6353,2022
Trinidad and Tobago,TTO,2022,73.3308,2022
Tunisia,TUN,2022,76.0505,2022
Turkey,TUR,2022,77.5913,2022
Turkmenistan,TKM,2022,69.9133,2022
Tuvalu,TUV,2022,66.8516,2022
Uganda,UGA,2022,67.6747,2022
Ukraine,UKR,2022,72.6582,2022
United Arab Emirates,ARE,2022,80.4868,2022
United Kingdom,GBR,2022,81.0744,2022
United States,USA,2022,77.9789,2022
Uruguay,URY,2022,76.4682,2022
Uzbekistan,UZB,2022,72.1465,2022
Vanuatu,VUT,2022,71.3016,2022
Venezuela,VEN,2022,72.5656,2022
Vietnam,VNM,2022,74.5025,2022
Western Sahara,ESH,2022,71.1432,2022
Yemen,YEM,2022,67.9517,2022
Zambia,ZMB,2022,65.2791,2022
Zimbabwe,ZWE,2022,62.3601,2022